crop_type,soil_type,rainfall_mm,temperature_c,fertilizer_kg,pesticide_kg,area_hectares,humidity_percent,soil_ph,nitrogen_level,phosphorus_level,potassium_level,planting_month,irrigation_count,yield_tons
Soybean,Silt,1223.6031347780327,30.58763278118343,160.75999415879022,8.774736231927346,43.25781326236137,72.95100093160866,8.284277553165907,43.41402317035638,17.972714345230635,87.94868796927109,6,9,13.805780974009298
Cotton,Loamy,790.6490499879517,18.282199300120606,204.4532986473216,11.339422202897119,42.859116940219,75.7181846758292,5.397779414590891,23.257121114070372,74.2154880865918,31.68759544639064,10,9,12.279312519618532
Maize,Clay,1019.3213852930053,22.74229277762973,242.49340455165023,11.3259275296459,2.0927835400335355,45.7688564731765,7.466745027067044,55.51888981013249,44.20892997885629,66.24228932303566,7,14,11.370251627546635
Cotton,Sandy,522.8986913661697,20.04487370631142,75.9898439780974,10.445922501774561,30.86575100002212,32.713777855212896,7.9778208528860715,51.01546606122217,58.667722660480415,84.27749219161255,12,5,6.848204045648423
Cotton,Peaty,1117.099079368532,37.72066244292156,290.5913291136321,3.5609299134313237,19.023778991726864,30.112364635150115,8.340325100773125,99.74465328515112,13.268336501042489,64.90294100936342,5,1,12.279257569747326
Rice,Peaty,755.8817338143385,34.01000168218707,272.555167638639,10.425434091510091,21.36738907352201,51.03895697724112,5.738392513990948,65.00877875339881,25.177516158193317,64.48875989154075,6,7,11.668636452962632
Maize,Sandy,775.3091692591693,31.90995922275015,117.58714762389609,4.212974107992379,41.76999622172002,44.487853691952964,6.763751527034855,80.7800340874981,76.88889561360698,27.901805526816528,6,19,12.549122717771242
Maize,Sandy,1044.1190219499463,22.524157990790542,255.690060758083,3.396579939619538,16.182148804856233,33.73906350295114,7.3819419667556865,40.06132036818888,24.961246019729852,52.810416025575435,9,14,11.728429803146637
Maize,Clay,1417.1648079096046,19.601119301255338,179.58098075995585,18.720268629482188,47.209391721243385,40.77169754962,5.866137053254681,84.83907982085168,27.239129029335956,55.001827488366416,10,17,16.344600022380128
Cotton,Loamy,283.2082505912072,33.9112771997228,165.45162039050467,12.494050249806381,9.802057492234898,37.46993389607687,7.10165502137596,65.3576469838915,19.81980386308096,66.01036499647623,4,4,7.107007325977179
Soybean,Peaty,1272.1662085511098,26.853948646976992,128.60852645285135,13.530311104367101,33.47339874504071,84.89270283704222,5.901525738742998,72.72930984385945,14.680524898012214,89.74571599169461,12,3,13.16739003645348
Maize,Clay,580.098043535851,20.644738803765726,195.2421466578981,8.634079736333913,33.93314828367447,38.41603280755014,6.167099571860765,36.498770015450894,22.494323109049848,12.691505803500966,11,9,10.557301092654452
Cotton,Loamy,777.0952908582912,30.415549454131877,232.47227942589944,18.27063694638242,13.357562909967992,62.25890783926075,6.545315437788028,59.37745525260194,53.17451689630988,15.218612901398947,12,18,11.425155906221775
Rice,Clay,228.48732740751166,16.0083463034613,152.73322624068956,13.120679302013643,16.912779839392897,65.58635730672987,6.852165345612985,67.06332760722478,39.15258001276727,16.2360055544735,5,13,9.111086999594933
Soybean,Peaty,591.359901184607,23.154256353206335,207.30479825207303,15.614227520948162,41.90512613641708,62.60936746251802,6.5727805506880275,63.018520823492295,46.531687725342394,69.43833075911655,4,12,14.404591116806042
Rice,Sandy,853.4206154191696,26.713924864778367,224.82823028882595,8.002686911526563,38.32845749279267,35.943386052959276,6.726184319257753,92.36743402821098,14.177362157451821,20.9083036088606,1,9,13.952347774757392
Soybean,Sandy,273.02890055167074,18.698958352735147,227.78045425382146,19.240225735563385,17.125698135423217,49.12790170503307,6.0450606470090245,90.84453980432981,65.1587335372175,59.79614995922762,10,5,11.14572023909176
